rank,longitude,latitude,country,production,export,radSize
1,-14.235004,-51.92528,Brazil,51000,29003,15
2,14.058324,108.277199,Vietnam,29500,27000,10
3,4.570868,-74.297333,Colombia,14000,12200,9
4,-0.789275,113.921327,Indonesia,10902,6202,8
5,15.199999,-86.241905,Honduras,8349,7974,7
6,9.145,40.489673,Ethiopia,7650,3900,7
7,20.593684,78.96288,India,5840,3490,6
8,1.373333,32.290275,Uganda,5100,4855,6
9,-9.189967,-75.015152,Peru,4280,4030,6
10,23.634501,-102.552784,Mexico,4000,1600,6
11,15.783471,-90.230759,Guatemala,3800,3405,6
12,12.865416,-85.207229,Nicaragua,2500,2282,6
13,9.748917,-83.753428,Costa Rica,1560,1207,6
14,7.539989,-5.54708,Côte d'Ivoire,1300,983,6
15,-0.023559,37.906193,Kenya,790,740,5
16,-6.369028,34.888822,Tanzania,750,658,5
17,13.794185,-88.89653,El Salvador,740,440,5
18,-6.314993,143.95555,Papua New Guinea,734,732,5
19,-1.831239,-78.183406,Ecuador,624,469,5
20,6.42375,-66.58973,Venezuela,550,0,4
21,15.870032,100.992541,Thailand,500,0,4
22,19.85627,102.495496,"Lao, People's Dem. Rep. of",475,325,4
23,-18.766947,46.869107,Madagascar,407,57,4
24,18.735693,-70.162651,Dominican Republic,400,10,4
25,7.369722,12.354722,Cameroon,375,297,4
26,18.971187,-72.285215,Haiti,340,0,4
27,-4.038333,21.758664,"Congo, Dem. Rep. of",335,135,3
28,-1.940278,29.873888,Rwanda,245,244,3
29,9.945587,-9.696645,Guinea,215,165,3
30,12.879721,121.774017,Philippines,200,0,3
31,-3.373056,29.918886,Burundi,176,174,3
32,15.552727,48.516388,Yemen,175,45,3
33,8.537981,-80.782127,Panama,106,39,3
34,21.521757,-77.781167,Cuba,100,0,3
35,-16.290154,-63.588653,Bolivia,85,25,2
36,-8.874217,125.727539,Timor-Leste,73,73,2
37,8.619543,0.824782,Togo,55,55,2
38,6.611111,20.939444,Central African Republic,50,30,2
39,8.460555,-11.779889,Sierra Leone,43,38,2
40,9.081999,8.675277,Nigeria,42,2,2
41,7.873054,80.771797,Sri Lanka,37,2,2
42,-11.202692,17.873887,Angola,35,5,2
43,-23.442503,-58.443832,Paraguay,20,0,1
44,18.109581,-77.297508,Jamaica,17,8,1
45,7.946527,-1.023194,Ghana,16,14,1
46,6.428055,-9.429499,Liberia,12,7,1
47,10.691803,-61.222503,Trinidad & Tobago,12,2,1
48,-13.133897,27.849332,Zambia,12,12,1
49,-13.254308,34.301525,Malawi,12,11,1
50,4.860416,-58.93018,Guyana,10,1,1
51,-19.015438,29.154857,Zimbabwe,6,2,1
52,-0.228021,15.827659,"Congo, Rep. of",3,0,1
53,28.394857,84.124008,Nepal,2,2,1
54,-0.803689,11.609444,Gabon,1,0,1
55,9.30769,2.315834,Benin,0,0,1
56,1.650801,10.267895,Equatorial Guinea,0,0,1
